Brand,Info,Price,IntPrice
APPLE,"MacBook Air 13.3"" with Retina Display (2018) - 128 GB SSD, Silver","£1,050.00",1050.0
ACER,"14 CB3-431 14"" Intel® Celeron™ Chromebook - 32 GB eMMC, Silver",£199.00,199.0
DELL,"Inspiron 15 5000 15.6"" Intel® Pentium® Gold Laptop - 1 TB HDD, Black",£379.00,379.0
HP,"Stream 11-ak0502sa 11.6"" Intel® Celeron™ Laptop - 32 GB eMMC, White",£179.00,179.0
LENOVO,"IdeaPad S130-14IGM 14"" Intel® Celeron® Laptop - 64 GB eMMC, Grey",£199.00,199.0
LG,"GRAM i14Z980 14"" Intel® Core™ i5 Laptop - 256 GB SSD, Silver",£999.00,999.0
DELL,"Inspiron 15 5000 15.6"" Intel® Core™ i3 Laptop - 1 TB HDD, Silver",£449.00,449.0
HP,"Stream 11-ak0501sa 11.6"" Intel® Celeron™ Laptop - 32 GB eMMC, Blue",£179.00,179.0
ACER,"14 CB3-431 14"" Intel® Celeron™ Chromebook - 32 GB eMMC, Gold",£199.00,199.0
APPLE,"MacBook Pro 13"" with Touch Bar - Space Grey (2018)","£1,548.00",1548.0
HP,"14-ck0521sa 14"" Intel® Core™ i5 Laptop - 256 GB SSD, Red",£399.00,399.0
LENOVO,"IdeaPad 330S 14"" Intel® Pentium® Gold Laptop - 128 GB SSD, Blue",£329.00,329.0
LENOVO,"IdeaPad 330S-14IKB 14"" Intel® Core™ i5 Laptop - 256 GB SSD, Blue",£449.00,449.0
HP,"15-da0511sa 15.6"" Intel® Core™ i3 Laptop - 1 TB HDD, Silver",£379.00,379.0
MICROSOFT,"10"" Surface Go - 128 GB, Silver",£509.00,509.0
HP,"Pavilion 14-ce0505sa 14"" Intel® Core™ i7 Laptop - 256 GB SSD, Silver",£799.00,799.0
LENOVO,"IdeaPad 120S 11.6"" Intel® Celeron® Laptop - 32 GB eMMC, Grey",£169.97,169.97
APPLE,"MacBook Air 13.3"" with Retina Display (2018) - 128 GB SSD, Gold","£1,070.00",1070.0
ACER,"Spin 11 11.6"" Intel® Celeron™ 2 in 1 Chromebook - 32 GB eMMC, Silver",£299.00,299.0
ACER,"Chromebook R 11 CB5 11.6"" Intel® Celeron™ 2 in 1 - 32 GB eMMC, White",£249.00,249.0
GEO,"Book3 13.3"" Intel® Celeron® Laptop - 32 GB eMMC, Silver",£189.00,189.0
MSI,"GF62 8RC 15.6"" Intel® Core™ i5 GTX 1050 Gaming Laptop - 1 TB HDD",£699.00,699.0
